select table_name, column_name, data_type, 'color3' as color from user_tab_cols

TABLE_NAME                     COLUMN_NAME                    DATA_TYPE                                                                                                  COLOR
------------------------------ ------------------------------ ---------------------------------------------------------------------------------------------------------- -----
TOAD_PLAN_TABLE                OBJECT_NODE                    VARCHAR2                                                                                                   color3
TOAD_PLAN_TABLE                OBJECT_OWNER                   VARCHAR2                                                                                                   color3
TOAD_PLAN_TABLE                OBJECT_NAME                    VARCHAR2                                                                                                   color3
TOAD_PLAN_TABLE                OBJECT_ALIAS                   VARCHAR2                                                                                                   color3
TOAD_PLAN_TABLE                OBJECT_INSTANCE                NUMBER                                                                                                     color3
TOAD_PLAN_TABLE                OBJECT_TYPE                    VARCHAR2                                                                                                   color3
TOAD_PLAN_TABLE                OPTIMIZER                      VARCHAR2                                                                                                   color3
TOAD_PLAN_TABLE                SEARCH_COLUMNS                 NUMBER                                                                                                     color3
TOAD_PLAN_TABLE                ID                             NUMBER                                                                                                     color3
TOAD_PLAN_TABLE                PARENT_ID                      NUMBER                                                                                                     color3
TOAD_PLAN_TABLE                DEPTH                          NUMBER                                                                                                     color3
TOAD_PLAN_TABLE                POSITION                       NUMBER                                                                                                     color3
TOAD_PLAN_TABLE                COST                           NUMBER                                                                                                     color3
TOAD_PLAN_TABLE                CARDINALITY                    NUMBER                                                                                                     color3
TOAD_PLAN_TABLE                BYTES                          NUMBER                                                                                                     color3
TOAD_PLAN_TABLE                OTHER_TAG                      VARCHAR2                                                                                                   color3
TOAD_PLAN_TABLE                PARTITION_START                VARCHAR2                                                                                                   color3
TOAD_PLAN_TABLE                PARTITION_STOP                 VARCHAR2                                                                                                   color3
TOAD_PLAN_TABLE                PARTITION_ID                   NUMBER                                                                                                     color3
TOAD_PLAN_TABLE                OTHER                          LONG                                                                                                       color3
TOAD_PLAN_TABLE                DISTRIBUTION                   VARCHAR2                                                                                                   color3
TOAD_PLAN_TABLE                CPU_COST                       NUMBER                                                                                                     color3
TOAD_PLAN_TABLE                IO_COST                        NUMBER                                                                                                     color3
TOAD_PLAN_TABLE                TEMP_SPACE                     NUMBER                                                                                                     color3
TOAD_PLAN_TABLE                ACCESS_PREDICATES              VARCHAR2                                                                                                   color3
TOAD_PLAN_TABLE                FILTER_PREDICATES              VARCHAR2                                                                                                   color3
TOAD_PLAN_TABLE                PROJECTION                     VARCHAR2                                                                                                   color3
TOAD_PLAN_TABLE                TIME                           NUMBER                                                                                                     color3
TOAD_PLAN_TABLE                QBLOCK_NAME                    VARCHAR2                                                                                                   color3
TOAD_PLAN_TABLE                OTHER_XML                      CLOB                                                                                                       color3
TOAD_PLAN_TABLE                STATEMENT_ID                   VARCHAR2                                                                                                   color3
TOAD_PLAN_TABLE                PLAN_ID                        NUMBER                                                                                                     color3
TOAD_PLAN_TABLE                TIMESTAMP                      DATE                                                                                                       color3
TOAD_PLAN_TABLE                REMARKS                        VARCHAR2                                                                                                   color3
TOAD_PLAN_TABLE                OPERATION                      VARCHAR2                                                                                                   color3
TOAD_PLAN_TABLE                OPTIONS                        VARCHAR2                                                                                                   color3
